sku_id,sku_key,my_size,stock_before,stock_10.8.25,sales_start_date,sold _since_start,kaspi_name_core,recommended_retail_price,product_type,sub_category,brend,model,color,gender,season,basecost_cny,weight_kg,vendor_id,store_name
CL_NK_MEN_BELI51_WHITE_S,CL_NK_MEN_BELI51_WHITE,S,0,0,,,beli51,0,CL,,Nk,BELI51,White,Men,All,65.0,0.95,SHR,UNIVERSAL
CL_NK_MEN_BELI51_WHITE_M,CL_NK_MEN_BELI51_WHITE,M,0,0,,,beli51,0,CL,,Nk,BELI51,White,Men,All,65.0,0.95,SHR,UNIVERSAL
CL_NK_MEN_BELI51_WHITE_L,CL_NK_MEN_BELI51_WHITE,L,0,0,,,beli51,0,CL,,Nk,BELI51,White,Men,All,65.0,0.95,SHR,UNIVERSAL
CL_NK_MEN_BELI51_WHITE_XL,CL_NK_MEN_BELI51_WHITE,XL,0,0,,,beli51,0,CL,,Nk,BELI51,White,Men,All,65.0,0.95,SHR,UNIVERSAL
CL_NK_MEN_BELI51_WHITE_2XL,CL_NK_MEN_BELI51_WHITE,2XL,0,0,,,beli51,0,CL,,Nk,BELI51,White,Men,All,65.0,0.95,SHR,UNIVERSAL
CL_NK_MEN_BELI51_WHITE_3XL,CL_NK_MEN_BELI51_WHITE,3XL,0,0,,,beli51,0,CL,,Nk,BELI51,White,Men,All,65.0,0.95,SHR,UNIVERSAL
CL_NK_MEN_BELI51_WHITE_4XL,CL_NK_MEN_BELI51_WHITE,4XL,0,0,,,beli51,0,CL,,Nk,BELI51,White,Men,All,65.0,0.95,SHR,UNIVERSAL
CL_OC_MEN_BELI51_WHITE_S,CL_OC_MEN_BELI51_WHITE,S,0,0,2025-08-08,,beli51,0,CL,,OC,BELI51,White,Men,All,60.0,0.95,SHR,UNIVERSAL
CL_OC_MEN_BELI51_WHITE_M,CL_OC_MEN_BELI51_WHITE,M,0,0,2025-08-08,,beli51,0,CL,,OC,BELI51,White,Men,All,60.0,0.95,SHR,UNIVERSAL
CL_OC_MEN_BELI51_WHITE_L,CL_OC_MEN_BELI51_WHITE,L,0,0,2025-08-08,,beli51,0,CL,,OC,BELI51,White,Men,All,60.0,0.95,SHR,UNIVERSAL
CL_OC_MEN_BELI51_WHITE_XL,CL_OC_MEN_BELI51_WHITE,XL,100,0,2025-08-08,,beli51,0,CL,,OC,BELI51,White,Men,All,60.0,0.95,SHR,UNIVERSAL
CL_OC_MEN_BELI51_WHITE_2XL,CL_OC_MEN_BELI51_WHITE,2XL,50,0,2025-08-08,,beli51,0,CL,,OC,BELI51,White,Men,All,60.0,0.95,SHR,UNIVERSAL
CL_OC_MEN_BELI51_WHITE_3XL,CL_OC_MEN_BELI51_WHITE,3XL,75,0,2025-08-08,,beli51,0,CL,,OC,BELI51,White,Men,All,60.0,0.95,SHR,UNIVERSAL
CL_OC_MEN_BELI51_WHITE_4XL,CL_OC_MEN_BELI51_WHITE,4XL,25,0,2025-08-08,,beli51,0,CL,,OC,BELI51,White,Men,All,60.0,0.95,SHR,UNIVERSAL
ELS_PRINTER_EPSON_L1250_BLACK,ELS_PRINTER_EPSON_L1250_BLACK,0,0,0,2025-08-07,,Принтер Epson L1250,96850,ELS,PRINTER,EPSON,L1250,Black,,All,,3.9,LC,M_GROUP
ELS_PRINTER_EPSON_L3550_BLACK,ELS_PRINTER_EPSON_L3550_BLACK,0,0,0,2025-08-07,,МФУ Epson L3550,147987,ELS,PRINTER,EPSON,L3550,Black,,All,,4.1,LC,M_GROUP
ELS_PRINTER_EPSON_L6490_WHITE,ELS_PRINTER_EPSON_L6490_WHITE,0,0,0,2025-08-07,,МФУ Epson L6490,264990,ELS,PRINTER,EPSON,L6490,White,,All,,7.5,LC,M_GROUP
ELS_PRINTER_EPSON_L132_BLACK,ELS_PRINTER_EPSON_L132_BLACK,0,0,0,2025-08-07,,Принтер Epson L132,87990,ELS,PRINTER,EPSON,L132,Black,,All,,2.7,LC,M_GROUP
ELS_PRINTER_EPSON_L11050_BLACK,ELS_PRINTER_EPSON_L11050_BLACK,0,0,0,2025-08-07,,Принтер Epson L11050,311117,ELS,PRINTER,EPSON,L11050,Black,,All,,6.4,LC,M_GROUP
ELS_PRINTER_EPSON_L5290_BLACK,ELS_PRINTER_EPSON_L5290_BLACK,0,0,0,2025-08-07,,МФУ Epson L5290,199214,ELS,PRINTER,EPSON,L5290,Black,,All,,5.0,LC,M_GROUP
ELS_PRINTER_EPSON_L8160_WHITE,ELS_PRINTER_EPSON_L8160_WHITE,0,0,0,2025-08-07,,МФУ Epson L8160,349990,ELS,PRINTER,EPSON,L8160,White,,All,,8.4,LC,M_GROUP
ELS_PRINTER_EPSON_L3250_BLACK,ELS_PRINTER_EPSON_L3250_BLACK,0,0,0,,,Принтер Epson L3250,0,ELS,PRINTER,EPSON,L3250,Black,,All,,4.0,LC,M_GROUP
