sku_id,occurrences,total_qty,example_sku_key,example_my_size,example_store_name
nan_nan,43,43.0,nan,nan,M-GROUP
nan_XL,11,11.0,nan,XL,UNIVERSAL
nan_L,7,7.0,nan,L,UNIVERSAL
nan_2XL,6,6.0,nan,2XL,UNIVERSAL
nan_3XL,6,6.0,nan,3XL,UNIVERSAL
nan_4XL,3,3.0,nan,4XL,UNIVERSAL
ELS_PRINTER_EPSON_L132_BLACK_nan,2,2.0,ELS_PRINTER_EPSON_L132_BLACK,nan,M-GROUP
nan_M,2,2.0,nan,M,UNIVERSAL
CL_NEW-CLO_KIDS_KID-31_BLACK_M,1,1.0,CL_NEW-CLO_KIDS_KID-31_BLACK,M,ONLYFIT
CL_OC_MEN_PRINT51_BLACK_4xl,1,1.0,CL_OC_MEN_PRINT51_BLACK,4xl,UNIVERSAL
ELS_PRINTER_EPSON_L5290_BLACK_nan,1,1.0,ELS_PRINTER_EPSON_L5290_BLACK,nan,M-GROUP
nan_S,1,1.0,nan,S,UNIVERSAL
