sku_id,reason,ksp_sku_id,occurrences,total_qty,example_sku_key,example_my_size,example_store_name,has_ksp_id
CL_NEW_CLO_MEN_LEG_WHITE_L,not_in_map,CL_NEW-CLO_MEN_LEG_WHITE_M 48_(L),6,0.0,CL_NEW_CLO_MEN_LEG_WHITE,L,ONLYFIT,True
CL_NEW_CLO_MEN_TAICI_BLACK_3XL,not_in_map,CL_NEW-CLO_MEN_TAICI_BLACK_3XL 54-56_(3XL),6,0.0,CL_NEW_CLO_MEN_TAICI_BLACK,3XL,ONLYFIT,True
BELI51_2XL,not_in_map,OnlyFit 004,5,0.0,BELI51,2XL,UNIVERSAL,True
CL_NEW_CLO_MEN_LEG_BLACK_L,not_in_map,CL_NEW-CLO_MEN_LEG_BLACK_M 48_(L),5,0.0,CL_NEW_CLO_MEN_LEG_BLACK,L,ONLYFIT,True
CL_NEW_CLO_MEN_RUSH_PRO_BLACK_XL,not_in_map,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_L 48-50_(XL),5,0.0,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,XL,ONLYFIT,True
CL_NEW_CLO_MEN_T_SHIRT_BLACK_XL,not_in_map,CL_NEW-CLO_MEN_T-SHIRT_BLACK_50/XL_(XL),5,0.0,CL_NEW_CLO_MEN_T_SHIRT_BLACK,XL,ONLYFIT,True
BELI51_XL,not_in_map,OnlyFit 033,4,0.0,BELI51,XL,UNIVERSAL,True
CL_NEW_CLO_MEN_LEG_BLACK_M,not_in_map,CL_NEW-CLO_MEN_LEG_BLACK_S 44-46_(M),4,0.0,CL_NEW_CLO_MEN_LEG_BLACK,M,ONLYFIT,True
CL_NEW_CLO_MEN_LEG_BLACK_XL,not_in_map,CL_NEW-CLO_MEN_LEG_BLACK_XL 52_(2XL),4,0.0,CL_NEW_CLO_MEN_LEG_BLACK,XL,ONLYFIT,True
CL_NEW_CLO_MEN_LEG_WHITE_XL,not_in_map,CL_NEW-CLO_MEN_LEG_WHITE_L 50_(XL),4,0.0,CL_NEW_CLO_MEN_LEG_WHITE,XL,ONLYFIT,True
CL_NEW_CLO_MEN_RUSH_PRO_BLACK_L,not_in_map,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_M 46-48_(L),4,0.0,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,L,ONLYFIT,True
BELI51_3XL,not_in_map,OnlyFit 005,3,0.0,BELI51,3XL,UNIVERSAL,True
CL_NEW_CLO_KIDS_KID_31_BLACK_26,not_in_map,CL_NEW-CLO_KIDS_KID-31_BLACK_128-134_(26),3,0.0,CL_NEW_CLO_KIDS_KID_31_BLACK,26,ONLYFIT,True
CL_NEW_CLO_MEN_RUSH_PRO_BLACK_XL,not_in_map,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_XL 50-52_(XL),3,0.0,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,XL,ONLYFIT,True
CL_NEW_CLO_MEN_TAICI_BLACK_2XL,not_in_map,CL_NEW-CLO_MEN_TAICI_BLACK_XL 50-52_(2XL),3,0.0,CL_NEW_CLO_MEN_TAICI_BLACK,2XL,ONLYFIT,True
CL_NEW_CLO_MEN_TAICI_BLACK_L,not_in_map,CL_NEW-CLO_MEN_TAICI_BLACK_M 46-48_(L),3,0.0,CL_NEW_CLO_MEN_TAICI_BLACK,L,ONLYFIT,True
CL_NEW_CLO_MEN_TAICI_BLACK_M,not_in_map,CL_NEW-CLO_MEN_TAICI_BLACK_M 46-48_(L),3,0.0,CL_NEW_CLO_MEN_TAICI_BLACK,M,ONLYFIT,True
0_,not_in_map,0,2,0.0,0,,,True
BELI51_L,not_in_map,OnlyFit 001,2,0.0,BELI51,L,UNIVERSAL,True
BELI51_L,not_in_map,OnlyFit 002,2,0.0,BELI51,L,UNIVERSAL,True
BELI51_M,not_in_map,132549028_443405699,2,0.0,BELI51,M,UNIVERSAL,True
