level,key,total_rows,known_sku_id_rows,unknown_rows,coverage_pct
store,11KZ,2,2,0,100.0
store,M-GROUP,4,0,4,0.0
store,ONLYFIT,160,160,0,100.0
store,UNIVERSAL,97,97,0,100.0
store,,39,0,39,0.0
sku_key,"""=XLOOKUP([@[SKU_KEY]];BUSINESS_MODEL.XLSM!TABLE257[SKU_KEY];BUSINESS_MODEL.XLSM!TABLE257[KASPI_NAME_CORE];"""";0;1)""",1,0,1,0.0
sku_key,0,16,0,16,0.0
sku_key,12990,1,0,1,0.0
sku_key,14990,1,0,1,0.0
sku_key,BELI51,34,34,0,100.0
sku_key,CL_NEW_CLO_KIDS_KID_31_BLACK,9,9,0,100.0
sku_key,CL_NEW_CLO_MEN_LEG_BLACK,19,19,0,100.0
sku_key,CL_NEW_CLO_MEN_LEG_WHITE,22,22,0,100.0
sku_key,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,17,17,0,100.0
sku_key,CL_NEW_CLO_MEN_TAICI_BLACK,22,22,0,100.0
sku_key,CL_NEW_CLO_MEN_T_SHIRT_BLACK,11,11,0,100.0
sku_key,CL_OC_MEN_PRINT51_BLACK,123,123,0,100.0
sku_key,ESDY_ЧЕРНЫЙ,2,2,0,100.0
sku_key,ЧЕРНИЛА_664_ЧЕРНЫЙ,2,0,2,0.0
sku_key,ЧЕРНИЛА_КОМПЛЕКТ,2,0,2,0.0
sku_key,,20,0,20,0.0
