old_sku_key,new_sku_key,old_my_size,new_my_size,old_sku_id,new_sku_id
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,XL,XL,CL_OC_MEN_PRINT51_BLACK_XL,CL_OC_MEN_PRINT51_BLACK_XL
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,S,S,CL_OC_MEN_PRINT51_BLACK_S,CL_OC_MEN_PRINT51_BLACK_S
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,S,S,CL_OC_MEN_PRINT51_BLACK_S,CL_OC_MEN_PRINT51_BLACK_S
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,S,S,CL_OC_MEN_PRINT51_BLACK_S,CL_OC_MEN_PRINT51_BLACK_S
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,M,M,CL_OC_MEN_PRINT51_BLACK_M,CL_OC_MEN_PRINT51_BLACK_M
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,M,M,CL_OC_MEN_PRINT51_BLACK_M,CL_OC_MEN_PRINT51_BLACK_M
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,L,L,CL_OC_MEN_PRINT51_BLACK_L,CL_OC_MEN_PRINT51_BLACK_L
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,L,L,CL_OC_MEN_PRINT51_BLACK_L,CL_OC_MEN_PRINT51_BLACK_L
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,L,L,CL_OC_MEN_PRINT51_BLACK_L,CL_OC_MEN_PRINT51_BLACK_L
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,L,L,CL_OC_MEN_PRINT51_BLACK_L,CL_OC_MEN_PRINT51_BLACK_L
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,L,L,CL_OC_MEN_PRINT51_BLACK_L,CL_OC_MEN_PRINT51_BLACK_L
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,L,L,CL_OC_MEN_PRINT51_BLACK_L,CL_OC_MEN_PRINT51_BLACK_L
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,L,L,CL_OC_MEN_PRINT51_BLACK_L,CL_OC_MEN_PRINT51_BLACK_L
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,4XL,4XL,CL_OC_MEN_PRINT51_BLACK_4XL,CL_OC_MEN_PRINT51_BLACK_4XL
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,2XL,2XL,CL_OC_MEN_PRINT51_BLACK_2XL,CL_OC_MEN_PRINT51_BLACK_2XL
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,2XL,2XL,CL_OC_MEN_PRINT51_BLACK_2XL,CL_OC_MEN_PRINT51_BLACK_2XL
,BELI51,XL,XL,nan_XL,BELI51_XL
