height_bin,height_min,height_max,weight_bin,weight_min,weight_max,rec_size,confidence,n
"(139.999, 168.0]",139.999,168.0,"(34.999, 55.0]",34.999,55.0,M,0.7344497607655502,418
"(139.999, 168.0]",139.999,168.0,"(55.0, 62.0]",55.0,62.0,L,0.7848101265822784,158
"(139.999, 168.0]",139.999,168.0,"(62.0, 66.0]",62.0,66.0,L,0.7529411764705882,85
"(139.999, 168.0]",139.999,168.0,"(66.0, 70.0]",66.0,70.0,XL,0.7627118644067796,59
"(139.999, 168.0]",139.999,168.0,"(70.0, 75.0]",70.0,75.0,XL,0.875,56
"(139.999, 168.0]",139.999,168.0,"(75.0, 81.0]",75.0,81.0,XL,0.7428571428571429,35
"(139.999, 168.0]",139.999,168.0,"(81.0, 88.0]",81.0,88.0,2XL,0.8857142857142857,35
"(139.999, 168.0]",139.999,168.0,"(88.0, 96.0]",88.0,96.0,3XL,0.6470588235294118,17
"(139.999, 168.0]",139.999,168.0,"(96.0, 160.0]",96.0,160.0,3XL,0.5454545454545454,11
"(168.0, 171.0]",168.0,171.0,"(34.999, 55.0]",34.999,55.0,M,0.5981308411214953,107
"(168.0, 171.0]",168.0,171.0,"(55.0, 62.0]",55.0,62.0,L,0.847457627118644,177
"(168.0, 171.0]",168.0,171.0,"(62.0, 66.0]",62.0,66.0,L,0.7096774193548387,93
"(168.0, 171.0]",168.0,171.0,"(66.0, 70.0]",66.0,70.0,XL,0.8454545454545455,110
"(168.0, 171.0]",168.0,171.0,"(70.0, 75.0]",70.0,75.0,XL,0.9512195121951219,82
"(168.0, 171.0]",168.0,171.0,"(75.0, 81.0]",75.0,81.0,XL,0.7682926829268293,82
"(168.0, 171.0]",168.0,171.0,"(81.0, 88.0]",81.0,88.0,2XL,0.8985507246376812,69
"(168.0, 171.0]",168.0,171.0,"(88.0, 96.0]",88.0,96.0,3XL,0.5892857142857143,56
"(168.0, 171.0]",168.0,171.0,"(96.0, 160.0]",96.0,160.0,3XL,0.7857142857142857,28
"(171.0, 175.0]",171.0,175.0,"(34.999, 55.0]",34.999,55.0,L,0.5384615384615384,91
"(171.0, 175.0]",171.0,175.0,"(55.0, 62.0]",55.0,62.0,L,0.8369098712446352,233
"(171.0, 175.0]",171.0,175.0,"(62.0, 66.0]",62.0,66.0,L,0.7055214723926381,163
"(171.0, 175.0]",171.0,175.0,"(66.0, 70.0]",66.0,70.0,XL,0.8300653594771242,153
"(171.0, 175.0]",171.0,175.0,"(70.0, 75.0]",70.0,75.0,XL,0.9214659685863874,191
"(171.0, 175.0]",171.0,175.0,"(75.0, 81.0]",75.0,81.0,XL,0.7559523809523809,168
"(171.0, 175.0]",171.0,175.0,"(81.0, 88.0]",81.0,88.0,2XL,0.9194630872483222,149
"(171.0, 175.0]",171.0,175.0,"(88.0, 96.0]",88.0,96.0,3XL,0.7266666666666667,150
"(171.0, 175.0]",171.0,175.0,"(96.0, 160.0]",96.0,160.0,3XL,0.6753246753246753,77
"(175.0, 177.0]",175.0,177.0,"(34.999, 55.0]",34.999,55.0,L,0.5555555555555556,9
"(175.0, 177.0]",175.0,177.0,"(55.0, 62.0]",55.0,62.0,L,0.7,50
"(175.0, 177.0]",175.0,177.0,"(62.0, 66.0]",62.0,66.0,XL,0.5416666666666666,48
"(175.0, 177.0]",175.0,177.0,"(66.0, 70.0]",66.0,70.0,XL,0.9047619047619048,63
"(175.0, 177.0]",175.0,177.0,"(70.0, 75.0]",70.0,75.0,XL,0.9795918367346939,49
"(175.0, 177.0]",175.0,177.0,"(75.0, 81.0]",75.0,81.0,XL,0.7592592592592593,54
"(175.0, 177.0]",175.0,177.0,"(81.0, 88.0]",81.0,88.0,2XL,0.8985507246376812,69
"(175.0, 177.0]",175.0,177.0,"(88.0, 96.0]",88.0,96.0,3XL,0.7555555555555555,45
"(175.0, 177.0]",175.0,177.0,"(96.0, 160.0]",96.0,160.0,3XL,0.7142857142857143,35
"(177.0, 180.0]",177.0,180.0,"(34.999, 55.0]",34.999,55.0,L,0.4666666666666667,15
"(177.0, 180.0]",177.0,180.0,"(55.0, 62.0]",55.0,62.0,XL,0.6024096385542169,83
"(177.0, 180.0]",177.0,180.0,"(62.0, 66.0]",62.0,66.0,XL,0.8303571428571429,112
"(177.0, 180.0]",177.0,180.0,"(66.0, 70.0]",66.0,70.0,XL,0.8538461538461538,130
"(177.0, 180.0]",177.0,180.0,"(70.0, 75.0]",70.0,75.0,XL,0.8956521739130435,115
"(177.0, 180.0]",177.0,180.0,"(75.0, 81.0]",75.0,81.0,XL,0.7039473684210527,152
"(177.0, 180.0]",177.0,180.0,"(81.0, 88.0]",81.0,88.0,2XL,0.9235668789808917,157
"(177.0, 180.0]",177.0,180.0,"(88.0, 96.0]",88.0,96.0,3XL,0.7045454545454546,132
"(177.0, 180.0]",177.0,180.0,"(96.0, 160.0]",96.0,160.0,3XL,0.559748427672956,159
"(180.0, 184.0]",180.0,184.0,"(34.999, 55.0]",34.999,55.0,M,0.5,2
"(180.0, 184.0]",180.0,184.0,"(55.0, 62.0]",55.0,62.0,XL,0.6071428571428571,28
"(180.0, 184.0]",180.0,184.0,"(62.0, 66.0]",62.0,66.0,XL,0.7435897435897436,39
"(180.0, 184.0]",180.0,184.0,"(66.0, 70.0]",66.0,70.0,XL,0.74,50
"(180.0, 184.0]",180.0,184.0,"(70.0, 75.0]",70.0,75.0,XL,0.6323529411764706,68
"(180.0, 184.0]",180.0,184.0,"(75.0, 81.0]",75.0,81.0,2XL,0.5375,80
"(180.0, 184.0]",180.0,184.0,"(81.0, 88.0]",81.0,88.0,2XL,0.8837209302325582,86
"(180.0, 184.0]",180.0,184.0,"(88.0, 96.0]",88.0,96.0,3XL,0.8045977011494253,87
"(180.0, 184.0]",180.0,184.0,"(96.0, 160.0]",96.0,160.0,3XL,0.5913978494623656,93
"(184.0, 204.0]",184.0,204.0,"(34.999, 55.0]",34.999,55.0,XL,0.5,2
"(184.0, 204.0]",184.0,204.0,"(55.0, 62.0]",55.0,62.0,2XL,0.5,20
"(184.0, 204.0]",184.0,204.0,"(62.0, 66.0]",62.0,66.0,2XL,0.47619047619047616,42
"(184.0, 204.0]",184.0,204.0,"(66.0, 70.0]",66.0,70.0,2XL,0.6417910447761194,67
