SKU_ID;sku_name_raw;Kaspi_name_edit;my_size;Size_kaspi;Stock_entered;Kaspi_art_1;SKU_ID_KSP;Kaspi_name_source;SKU_key;Kaspi_art_2;Kaspi_art_3;Product_Type;Brend;Model;Color;Our_Size;Gender;Season;BaseCost_CNY;Weight_kg;pol;
CL_OC_MEN_PRINT51_BLACK_S;CL_OC_MEN_PRINT51_BLACK_S;;S;;;;CL_OC_MEN_PRINT51_BLACK_(S);;CL_OC_MEN_PRINT51_BLACK;;;CL;OC;Print51;Black;;Men;All;47;0,95;;
CL_OC_MEN_PRINT51_BLACK_M;CL_OC_MEN_PRINT51_BLACK_M;;M;;;;CL_OC_MEN_PRINT51_BLACK_(M);;CL_OC_MEN_PRINT51_BLACK;;;CL;OC;Print51;Black;;Men;All;47;0,95;;
CL_OC_MEN_PRINT51_BLACK_L;CL_OC_MEN_PRINT51_BLACK_L;;L;;;;CL_OC_MEN_PRINT51_BLACK_(L);;CL_OC_MEN_PRINT51_BLACK;;;CL;OC;Print51;Black;;Men;All;47;0,95;;
CL_OC_MEN_PRINT51_BLACK_XL;CL_OC_MEN_PRINT51_BLACK_XL;;XL;;;;CL_OC_MEN_PRINT51_BLACK_(XL);;CL_OC_MEN_PRINT51_BLACK;;;CL;OC;Print51;Black;;Men;All;47;0,95;;
CL_OC_MEN_PRINT51_BLACK_2XL;CL_OC_MEN_PRINT51_BLACK_2XL;;2XL;;;;CL_OC_MEN_PRINT51_BLACK_(2XL);;CL_OC_MEN_PRINT51_BLACK;;;CL;OC;Print51;Black;;Men;All;47;0,95;;
CL_OC_MEN_PRINT51_BLACK_3XL;CL_OC_MEN_PRINT51_BLACK_3XL;;3XL;;;;CL_OC_MEN_PRINT51_BLACK_(3XL);;CL_OC_MEN_PRINT51_BLACK;;;CL;OC;Print51;Black;;Men;All;47;0,95;;
CL_OC_MEN_PRINT51_BLACK_4XL;CL_OC_MEN_PRINT51_BLACK_4XL;;4XL;;;;CL_OC_MEN_PRINT51_BLACK_(4XL);;CL_OC_MEN_PRINT51_BLACK;;;CL;OC;Print51;Black;;Men;All;47;0,95;;
CL_NK_MEN_BELI51_WHITE_S;CL_NK_MEN_BELI51_WHITE_S;;S;;;;CL_NK_MEN_BELI51_WHITE_(S);;CL_NK_MEN_BELI51_WHITE;;;CL;Nk;BELI51;White;;Men;All;65;0,95;;
CL_NK_MEN_BELI51_WHITE_M;CL_NK_MEN_BELI51_WHITE_M;;M;;;;CL_NK_MEN_BELI51_WHITE_(M);;CL_NK_MEN_BELI51_WHITE;;;CL;Nk;BELI51;White;;Men;All;65;0,95;;
CL_NK_MEN_BELI51_WHITE_L;CL_NK_MEN_BELI51_WHITE_L;;L;;;;CL_NK_MEN_BELI51_WHITE_(L);;CL_NK_MEN_BELI51_WHITE;;;CL;Nk;BELI51;White;;Men;All;65;0,95;;
CL_NK_MEN_BELI51_WHITE_XL;CL_NK_MEN_BELI51_WHITE_XL;;XL;;;;CL_NK_MEN_BELI51_WHITE_(XL);;CL_NK_MEN_BELI51_WHITE;;;CL;Nk;BELI51;White;;Men;All;65;0,95;;
CL_NK_MEN_BELI51_WHITE_2XL;CL_NK_MEN_BELI51_WHITE_2XL;;2XL;;;;CL_NK_MEN_BELI51_WHITE_(2XL);;CL_NK_MEN_BELI51_WHITE;;;CL;Nk;BELI51;White;;Men;All;65;0,95;;
CL_NK_MEN_BELI51_WHITE_3XL;CL_NK_MEN_BELI51_WHITE_3XL;;3XL;;;;CL_NK_MEN_BELI51_WHITE_(3XL);;CL_NK_MEN_BELI51_WHITE;;;CL;Nk;BELI51;White;;Men;All;65;0,95;;
CL_NK_MEN_BELI51_WHITE_4XL;CL_NK_MEN_BELI51_WHITE_4XL;;4XL;;;;CL_NK_MEN_BELI51_WHITE_(4XL);;CL_NK_MEN_BELI51_WHITE;;;CL;Nk;BELI51;White;;Men;All;65;0,95;;
CL_OC_MEN_BELI51_WHITE_S;CL_OC_MEN_BELI51_WHITE_S;;S;;;;CL_OC_MEN_BELI51_WHITE_(S);;CL_OC_MEN_BELI51_WHITE;;;CL;OC;BELI51;White;;Men;All;60;0,95;;
CL_OC_MEN_BELI51_WHITE_M;CL_OC_MEN_BELI51_WHITE_M;;M;;;;CL_OC_MEN_BELI51_WHITE_(M);;CL_OC_MEN_BELI51_WHITE;;;CL;OC;BELI51;White;;Men;All;60;0,95;;
CL_OC_MEN_BELI51_WHITE_L;CL_OC_MEN_BELI51_WHITE_L;;L;;;;CL_OC_MEN_BELI51_WHITE_(L);;CL_OC_MEN_BELI51_WHITE;;;CL;OC;BELI51;White;;Men;All;60;0,95;;
CL_OC_MEN_BELI51_WHITE_XL;CL_OC_MEN_BELI51_WHITE_XL;;XL;;;;CL_OC_MEN_BELI51_WHITE_(XL);;CL_OC_MEN_BELI51_WHITE;;;CL;OC;BELI51;White;;Men;All;60;0,95;;#REF!
CL_OC_MEN_BELI51_WHITE_2XL;CL_OC_MEN_BELI51_WHITE_2XL;;2XL;;;;CL_OC_MEN_BELI51_WHITE_(2XL);;CL_OC_MEN_BELI51_WHITE;;;CL;OC;BELI51;White;;Men;All;60;0,95;;
CL_OC_MEN_BELI51_WHITE_3XL;CL_OC_MEN_BELI51_WHITE_3XL;;3XL;;;;CL_OC_MEN_BELI51_WHITE_(3XL);;CL_OC_MEN_BELI51_WHITE;;;CL;OC;BELI51;White;;Men;All;60;0,95;;
CL_OC_MEN_BELI51_WHITE_4XL;CL_OC_MEN_BELI51_WHITE_4XL;;4XL;;;;CL_OC_MEN_BELI51_WHITE_(4XL);;CL_OC_MEN_BELI51_WHITE;;;CL;OC;BELI51;White;;Men;All;60;0,95;;
ELS_EPSON_L3250_PRINTER;ELS_EPSON_L3250_PRINTER;;;;;;ELS_EPSON_L3250_PRINTER_();;ELS_EPSON_L3250_PRINTER;;;ELS;EPSON;L3250;PRINTER;;;All;;;;
ELS_EPSON_L805_PRINTER;ELS_EPSON_L805_PRINTER;;;;;;ELS_EPSON_L805_PRINTER_();;ELS_EPSON_L805_PRINTER;;;ELS;EPSON;L805;PRINTER;;;All;;;;
ELS_EPSON_L3260_PRINTER;ELS_EPSON_L3260_PRINTER;;;;;;ELS_EPSON_L3260_PRINTER_();;ELS_EPSON_L3260_PRINTER;;;ELS;EPSON;L3260;PRINTER;;;All;;;;
ELS_EPSON_L132_PRINTER;ELS_EPSON_L132_PRINTER;;;;;;ELS_EPSON_L132_PRINTER_();;ELS_EPSON_L132_PRINTER;;;ELS;EPSON;L132;PRINTER;;;All;;;;
ELS_EPSON_L3256_PRINTER;ELS_EPSON_L3256_PRINTER;;;;;;ELS_EPSON_L3256_PRINTER_();;ELS_EPSON_L3256_PRINTER;;;ELS;EPSON;L3256;PRINTER;;;All;;;;
ELS_EPSON_L3251_PRINTER;ELS_EPSON_L3251_PRINTER;;;;;;ELS_EPSON_L3251_PRINTER_();;ELS_EPSON_L3251_PRINTER;;;ELS;EPSON;L3251;PRINTER;;;All;;;;
ELS_EPSON_L8160_PRINTER;ELS_EPSON_L8160_PRINTER;;;;;;ELS_EPSON_L8160_PRINTER_();;ELS_EPSON_L8160_PRINTER;;;ELS;EPSON;L8160;PRINTER;;;All;;;;
ELS_EPSON_L3550_PRINTER;ELS_EPSON_L3550_PRINTER;;;;;;ELS_EPSON_L3550_PRINTER_();;ELS_EPSON_L3550_PRINTER;;;ELS;EPSON;L3550;PRINTER;;;All;;;;
ELS_EPSON_L3210_PRINTER;ELS_EPSON_L3210_PRINTER;;;;;;ELS_EPSON_L3210_PRINTER_();;ELS_EPSON_L3210_PRINTER;;;ELS;EPSON;L3210;PRINTER;;;All;;;;
ELS_EPSON_L1250_PRINTER;ELS_EPSON_L1250_PRINTER;;;;;;ELS_EPSON_L1250_PRINTER_();;ELS_EPSON_L1250_PRINTER;;;ELS;EPSON;L1250;PRINTER;;;All;;;;
ELS_EPSON_L11050_PRINTER;ELS_EPSON_L11050_PRINTER;;;;;;ELS_EPSON_L11050_PRINTER_();;ELS_EPSON_L11050_PRINTER;;;ELS;EPSON;L11050;PRINTER;;;All;;;;
ELS_EPSON_L5290_PRINTER;ELS_EPSON_L5290_PRINTER;;;;;;ELS_EPSON_L5290_PRINTER_();;ELS_EPSON_L5290_PRINTER;;;ELS;EPSON;L5290;PRINTER;;;All;;;;
CL_NEW-CLO_MEN_TAICI_WHITE;CL_NEW-CLO_MEN_TAICI_WHITE;;;;;;CL_NEW-CLO_MEN_TAICI_WHITE_();;CL_NEW-CLO_MEN_TAICI_WHITE;;;CL;New-Clo;TAICI;White;;Men;All;;;;
CL_NEW-CLO_MEN_S-NK31_BLACK;CL_NEW-CLO_MEN_S-NK31_BLACK;;;;;;CL_NEW-CLO_MEN_S-NK31_BLACK_();;CL_NEW-CLO_MEN_S-NK31_BLACK;;;CL;New-Clo;S-Nk31;Black;;Men;All;;;;
CL_NEW-CLO_MEN_S-NK31_BLACK;CL_NEW-CLO_MEN_S-NK31_BLACK;;;;;;CL_NEW-CLO_MEN_S-NK31_BLACK_();;CL_NEW-CLO_MEN_S-NK31_BLACK;;;CL;New-Clo;S-Nk31;Black;;Men;All;;;;
CL_NEW-CLO_MEN_T-SHIRT_BLACK_S;CL_NEW-CLO_MEN_T-SHIRT_BLACK_S;Футболка черная;S;44/S;2;122754031;CL_NEW-CLO_MEN_T-SHIRT_BLACK_44/S_(S);Футболка черная мужской 44/S 122754031 (S);CL_NEW-CLO_MEN_T-SHIRT_BLACK;;;CL;New-Clo;T-Shirt;Black;M;Men;All;;#REF!;мужской;
CL_NEW-CLO_MEN_T-SHIRT_BLACK_M;CL_NEW-CLO_MEN_T-SHIRT_BLACK_M;Футболка черная;M;44;8;122754031;CL_NEW-CLO_MEN_T-SHIRT_BLACK_44_(M);Футболка черная мужской 44 122754031 (M);CL_NEW-CLO_MEN_T-SHIRT_BLACK;;;CL;New-Clo;T-Shirt;Black;;Men;All;;#REF!;мужской;
CL_NEW-CLO_MEN_T-SHIRT_BLACK_L;CL_NEW-CLO_MEN_T-SHIRT_BLACK_L;Футболка черная;L;46/М;5;122754031;CL_NEW-CLO_MEN_T-SHIRT_BLACK_46/М_(L);Футболка черная мужской 46/М 122754031 (L);CL_NEW-CLO_MEN_T-SHIRT_BLACK;;;CL;New-Clo;T-Shirt;Black;;Men;All;;#REF!;мужской;
CL_NEW-CLO_MEN_T-SHIRT_BLACK_L;CL_NEW-CLO_MEN_T-SHIRT_BLACK_L;Футболка черная;L;46;8;122754031;CL_NEW-CLO_MEN_T-SHIRT_BLACK_46_(L);Футболка черная мужской 46 122754031 (L);CL_NEW-CLO_MEN_T-SHIRT_BLACK;;;CL;New-Clo;T-Shirt;Black;;Men;All;;#REF!;мужской;
CL_NEW-CLO_MEN_T-SHIRT_BLACK_XL;CL_NEW-CLO_MEN_T-SHIRT_BLACK_XL;Футболка черная;XL;48/L;7;122754031;CL_NEW-CLO_MEN_T-SHIRT_BLACK_48/L_(XL);Футболка черная мужской 48/L 122754031 (XL);CL_NEW-CLO_MEN_T-SHIRT_BLACK;;;CL;New-Clo;T-Shirt;Black;;Men;All;;#REF!;мужской;
CL_NEW-CLO_MEN_T-SHIRT_BLACK_XL;CL_NEW-CLO_MEN_T-SHIRT_BLACK_XL;Футболка черная;XL;50/XL;9;122754031;CL_NEW-CLO_MEN_T-SHIRT_BLACK_50/XL_(XL);Футболка черная мужской 50/XL 122754031 (XL);CL_NEW-CLO_MEN_T-SHIRT_BLACK;;;CL;New-Clo;T-Shirt;Black;;Men;All;;#REF!;мужской;
CL_NEW-CLO_MEN_T-SHIRT_BLACK_XL;CL_NEW-CLO_MEN_T-SHIRT_BLACK_XL;Футболка черная;XL;50;7;122754031;CL_NEW-CLO_MEN_T-SHIRT_BLACK_50_(XL);Футболка черная мужской 50 122754031 (XL);CL_NEW-CLO_MEN_T-SHIRT_BLACK;;;CL;New-Clo;T-Shirt;Black;;Men;All;;#REF!;мужской;
CL_NEW-CLO_MEN_T-SHIRT_BLACK_2XL;CL_NEW-CLO_MEN_T-SHIRT_BLACK_2XL;Футболка черная;2XL;52/2XL;14;122754031;CL_NEW-CLO_MEN_T-SHIRT_BLACK_52/2XL_(2XL);Футболка черная мужской 52/2XL 122754031 (2XL);CL_NEW-CLO_MEN_T-SHIRT_BLACK;;;CL;New-Clo;T-Shirt;Black;;Men;All;;#REF!;мужской;
CL_NEW-CLO_MEN_T-SHIRT_BLACK_2XL;CL_NEW-CLO_MEN_T-SHIRT_BLACK_2XL;Футболка черная;2XL;52;14;122754031;CL_NEW-CLO_MEN_T-SHIRT_BLACK_52_(2XL);Футболка черная мужской 52 122754031 (2XL);CL_NEW-CLO_MEN_T-SHIRT_BLACK;;;CL;New-Clo;T-Shirt;Black;;Men;All;;#REF!;мужской;
CL_NEW-CLO_MEN_T-SHIRT_BLACK_3XL;CL_NEW-CLO_MEN_T-SHIRT_BLACK_3XL;Футболка черная;3XL;54/3XL;10;122754031;CL_NEW-CLO_MEN_T-SHIRT_BLACK_54/3XL_(3XL);Футболка черная мужской 54/3XL 122754031 (3XL);CL_NEW-CLO_MEN_T-SHIRT_BLACK;;;CL;New-Clo;T-Shirt;Black;;Men;All;;#REF!;мужской;
CL_NEW-CLO_MEN_T-SHIRT_BLACK_3XL;CL_NEW-CLO_MEN_T-SHIRT_BLACK_3XL;Футболка черная;3XL;54;5;122754031;CL_NEW-CLO_MEN_T-SHIRT_BLACK_54_(3XL);Футболка черная мужской 54 122754031 (3XL);CL_NEW-CLO_MEN_T-SHIRT_BLACK;;;CL;New-Clo;T-Shirt;Black;;Men;All;;#REF!;мужской;
CL_NEW-CLO_MEN_RUSH-PRO_BLACK_M;CL_NEW-CLO_MEN_RUSH-PRO_BLACK_M;Рашгард ДЛИННЫЙ РУКАВ черный;M;S 44-46;6;135277314;CL_NEW-CLO_MEN_RUSH-PRO_BLACK_S 44-46_(M);Рашгард ДЛИННЫЙ РУКАВ черный мужской S 44-46 135277314 (M);CL_NEW-CLO_MEN_RUSH-PRO_BLACK;;;CL;New-Clo;RUSH-Pro;Black;;Men;All;;#REF!;мужской;
CL_NEW-CLO_MEN_RUSH-PRO_BLACK_L;CL_NEW-CLO_MEN_RUSH-PRO_BLACK_L;Рашгард ДЛИННЫЙ РУКАВ черный;L;M 46-48;13;135277314;CL_NEW-CLO_MEN_RUSH-PRO_BLACK_M 46-48_(L);Рашгард ДЛИННЫЙ РУКАВ черный мужской M 46-48 135277314 (L);CL_NEW-CLO_MEN_RUSH-PRO_BLACK;;;CL;New-Clo;RUSH-Pro;Black;;Men;All;;#REF!;мужской;
CL_NEW-CLO_MEN_RUSH-PRO_BLACK_XL;CL_NEW-CLO_MEN_RUSH-PRO_BLACK_XL;Рашгард ДЛИННЫЙ РУКАВ черный;XL;L 48-50;11;135277314;CL_NEW-CLO_MEN_RUSH-PRO_BLACK_L 48-50_(XL);Рашгард ДЛИННЫЙ РУКАВ черный мужской L 48-50 135277314 (XL);CL_NEW-CLO_MEN_RUSH-PRO_BLACK;;;CL;New-Clo;RUSH-Pro;Black;;Men;All;;#REF!;мужской;
