product_url,product_code,total_sellers_qnt,seller_name,price_kzt,ratings_qnt
https://kaspi.kz/shop/p/giorgio-armani-acqua-di-gioia-parfjumernyi-nabor-30-ml-dlja-zhenschin-135293872/?c=710000000,135293872,4,Sahina.kz,43498,807
https://kaspi.kz/shop/p/giorgio-armani-acqua-di-gioia-parfjumernyi-nabor-30-ml-dlja-zhenschin-135293872/?c=710000000,135293872,4,Perfume BAR,43499,807
https://kaspi.kz/shop/p/giorgio-armani-acqua-di-gioia-parfjumernyi-nabor-30-ml-dlja-zhenschin-135293872/?c=710000000,135293872,4,CosMarket,43500,807
https://kaspi.kz/shop/p/giorgio-armani-acqua-di-gioia-parfjumernyi-nabor-30-ml-dlja-zhenschin-135293872/?c=710000000,135293872,4,ADN Store,49990,807
https://kaspi.kz/shop/p/essens-muzhskoi-parfjum-m029-duhi-parfum-50-ml-dlja-muzhchin-131877496/?c=710000000,131877496,3,Lovely Parfume,13600,130
https://kaspi.kz/shop/p/essens-muzhskoi-parfjum-m029-duhi-parfum-50-ml-dlja-muzhchin-131877496/?c=710000000,131877496,3,ЭКО МАРКЕТ,13602,130
https://kaspi.kz/shop/p/essens-muzhskoi-parfjum-m029-duhi-parfum-50-ml-dlja-muzhchin-131877496/?c=710000000,131877496,3,RAYANA BEAUTY,13795,130
https://kaspi.kz/shop/p/gucci-eau-de-parfum-ii-duhi-parfum-20-ml-dlja-zhenschin-135215788/?c=710000000,135215788,1,Мир покупок,16000,287
https://kaspi.kz/shop/p/essential-parfums-bois-imperial-refillable-limited-edition-parfjumernaja-voda-edp-100-ml-uniseks-118315569/?c=710000000,118315569,2,Perfume Home,79990,277
https://kaspi.kz/shop/p/essential-parfums-bois-imperial-refillable-limited-edition-parfjumernaja-voda-edp-100-ml-uniseks-118315569/?c=710000000,118315569,2,COCO-SHOP,82500,277
https://kaspi.kz/shop/p/essens-w124-duhi-parfum-50-ml-dlja-zhenschin-duhi-parfum-50-ml-dlja-zhenschin-117209973/?c=710000000,117209973,2,АРОМАТ,14490,32
https://kaspi.kz/shop/p/essens-w124-duhi-parfum-50-ml-dlja-zhenschin-duhi-parfum-50-ml-dlja-zhenschin-117209973/?c=710000000,117209973,2,ЭКО МАРКЕТ,14500,32
https://kaspi.kz/shop/p/antonio-banderas-dose-queen-of-seduction-tualetnaja-voda-edt-30-ml-dlja-zhenschin-117774090/?c=710000000,117774090,1,ПАРФЮМ.KZ,12295,138
https://kaspi.kz/shop/p/montale-roses-musk-gold-box-parfjumernaja-voda-edp-100-ml-dlja-zhenschin-115886623/?c=710000000,115886623,5,Forever Yоung,39989,418
https://kaspi.kz/shop/p/montale-roses-musk-gold-box-parfjumernaja-voda-edp-100-ml-dlja-zhenschin-115886623/?c=710000000,115886623,5,My Way,39990,418
https://kaspi.kz/shop/p/montale-roses-musk-gold-box-parfjumernaja-voda-edp-100-ml-dlja-zhenschin-115886623/?c=710000000,115886623,5,MIM Cosmetics,45890,418
https://kaspi.kz/shop/p/montale-roses-musk-gold-box-parfjumernaja-voda-edp-100-ml-dlja-zhenschin-115886623/?c=710000000,115886623,5,Okey,46000,418
https://kaspi.kz/shop/p/montale-roses-musk-gold-box-parfjumernaja-voda-edp-100-ml-dlja-zhenschin-115886623/?c=710000000,115886623,5,Estual,55958,418
https://kaspi.kz/shop/p/rochas-mademoiselle-in-paris-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-120433594/?c=710000000,120433594,2,MonAmie,17160,6150
https://kaspi.kz/shop/p/rochas-mademoiselle-in-paris-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-120433594/?c=710000000,120433594,2,ПАРФЮМ.KZ,28195,6150
https://kaspi.kz/shop/p/prada-paradoxe-virtual-flower-zhenskaja-parfjumernaja-voda-edp-30-ml-132568392/?c=710000000,132568392,5,MonAmie,37870,6150
https://kaspi.kz/shop/p/prada-paradoxe-virtual-flower-zhenskaja-parfjumernaja-voda-edp-30-ml-132568392/?c=710000000,132568392,5,Monamie kz,37870,6150
https://kaspi.kz/shop/p/prada-paradoxe-virtual-flower-zhenskaja-parfjumernaja-voda-edp-30-ml-132568392/?c=710000000,132568392,5,CosMarket,54000,6150
https://kaspi.kz/shop/p/prada-paradoxe-virtual-flower-zhenskaja-parfjumernaja-voda-edp-30-ml-132568392/?c=710000000,132568392,5,Amavi,54100,6150
https://kaspi.kz/shop/p/prada-paradoxe-virtual-flower-zhenskaja-parfjumernaja-voda-edp-30-ml-132568392/?c=710000000,132568392,5,ПАРФЮМ.KZ,79595,6150
https://kaspi.kz/shop/p/milton-lloyd-colour-me-dark-green-homme-gold-silver-sport-parfjumernyi-nabor-50-ml-dlja-muzhchin-134447051/?c=710000000,134447051,2,MiniM-kz,19990,3095
https://kaspi.kz/shop/p/milton-lloyd-colour-me-dark-green-homme-gold-silver-sport-parfjumernyi-nabor-50-ml-dlja-muzhchin-134447051/?c=710000000,134447051,2,ТОРГОВЫЙ ЦЕНТР ШАМПУНЕЙ в КЗ все бренды здесь,19990,3095
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-110-ml-dlja-muzhchin-135749069/?c=710000000,135749069,4,Love in Paris,31169,972
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-110-ml-dlja-muzhchin-135749069/?c=710000000,135749069,4,Aroma Secret,31170,972
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-110-ml-dlja-muzhchin-135749069/?c=710000000,135749069,4,VIVERA,31172,972
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-110-ml-dlja-muzhchin-135749069/?c=710000000,135749069,4,PARFUM-KZ - Официальный Магазин,35440,972
https://kaspi.kz/shop/p/versace-bright-crystal-parfjumernyi-nabor-50-ml-dlja-zhenschin-140493583/?c=710000000,140493583,1,Monamie kz,40500,1000
https://kaspi.kz/shop/p/moschino-funny-edt-50-atomaizer-5-ml-tualetnaja-voda-edt-55-ml-dlja-zhenschin-135749044/?c=710000000,135749044,2,Aroma Secret,18999,1583
https://kaspi.kz/shop/p/moschino-funny-edt-50-atomaizer-5-ml-tualetnaja-voda-edt-55-ml-dlja-zhenschin-135749044/?c=710000000,135749044,2,Love in Paris,18999,1583
https://kaspi.kz/shop/p/jean-paul-gaultier-divine-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-113620778/?c=710000000,113620778,5,CosMarket,43400,507
https://kaspi.kz/shop/p/jean-paul-gaultier-divine-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-113620778/?c=710000000,113620778,5,perfumeshop_astana,43500,507
https://kaspi.kz/shop/p/jean-paul-gaultier-divine-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-113620778/?c=710000000,113620778,5,Perfume Home,44990,507
https://kaspi.kz/shop/p/jean-paul-gaultier-divine-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-113620778/?c=710000000,113620778,5,Amavi,55700,507
https://kaspi.kz/shop/p/jean-paul-gaultier-divine-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-113620778/?c=710000000,113620778,5,ПАРФЮМ.KZ,74595,507
https://kaspi.kz/shop/p/lanvin-a-girl-in-capri-tualetnaja-voda-edt-90-ml-17303063/?c=710000000,17303063,1,PrimeStore.KZ,24000,261
https://kaspi.kz/shop/p/dolce-gabbana-light-blue-parfjumernyi-nabor-100-ml-dlja-zhenschin-139325649/?c=710000000,139325649,3,MonAmie,64440,6150
https://kaspi.kz/shop/p/dolce-gabbana-light-blue-parfjumernyi-nabor-100-ml-dlja-zhenschin-139325649/?c=710000000,139325649,3,Monamie kz,64440,6150
https://kaspi.kz/shop/p/dolce-gabbana-light-blue-parfjumernyi-nabor-100-ml-dlja-zhenschin-139325649/?c=710000000,139325649,3,Beauty Market KZ,85920,6150
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-100830517/?c=710000000,100830517,10,Elegance Fragrance,27990,82
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-100830517/?c=710000000,100830517,10,Beauty Market KZ,28000,82
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-100830517/?c=710000000,100830517,10,CosMarket,31700,82
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-100830517/?c=710000000,100830517,10,MonAmie,35630,82
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-100830517/?c=710000000,100830517,10,Monamie kz,35630,82
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-100830517/?c=710000000,100830517,10,Amavi,38170,82
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-100830517/?c=710000000,100830517,10,perfumeshop_astana,39000,82
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-100830517/?c=710000000,100830517,10,Adel-Parfum,49997,82
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-100830517/?c=710000000,100830517,10,ПАРФЮМ.KZ,58695,82
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-100830517/?c=710000000,100830517,10,Deluxe market,69999,82
https://kaspi.kz/shop/p/hugo-boss-bottled-absolu-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-130327967/?c=710000000,130327967,1,MonAmie,53760,6150
https://kaspi.kz/shop/p/jean-paul-gaultier-le-male-parfjumernaja-voda-edp-75-ml-dlja-muzhchin-108487165/?c=710000000,108487165,10,Sahina.kz,39195,67
https://kaspi.kz/shop/p/jean-paul-gaultier-le-male-parfjumernaja-voda-edp-75-ml-dlja-muzhchin-108487165/?c=710000000,108487165,10,Perfume BAR,39196,67
