type,store,core,size,count,output
singles_group,Universal,Nike Футболка черная,2XL,1,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_Universal_qnt27/NORMAL_singles/Nike Футболка черная_2XL-1.pdf
singles_group,Universal,Nike Футболка черная,L,3,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_Universal_qnt27/NORMAL_singles/Nike Футболка черная_L-3.pdf
singles_group,Universal,Nike Футболка черная,XL,3,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_Universal_qnt27/NORMAL_singles/Nike Футболка черная_XL-3.pdf
singles_group,Universal,Костюм мужской Ромбик,XL,1,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_Universal_qnt27/NORMAL_singles/Костюм мужской Ромбик_XL-1.pdf
singles_group,Universal,Костюм мужской Хус,L,1,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_Universal_qnt27/NORMAL_singles/Костюм мужской Хус_L-1.pdf
singles_group,Universal,Принт 5в1 черный,2XL,3,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_Universal_qnt27/NORMAL_singles/Принт 5в1 черный_2XL-3.pdf
singles_group,Universal,Принт 5в1 черный,4XL,2,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_Universal_qnt27/NORMAL_singles/Принт 5в1 черный_4XL-2.pdf
singles_group,Universal,Принт 5в1 черный,L,3,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_Universal_qnt27/NORMAL_singles/Принт 5в1 черный_L-3.pdf
singles_group,Universal,Принт 5в1 черный,M,4,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_Universal_qnt27/NORMAL_singles/Принт 5в1 черный_M-4.pdf
singles_group,Universal,Принт 5в1 черный,XL,3,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_Universal_qnt27/NORMAL_singles/Принт 5в1 черный_XL-3.pdf
singles_group,Universal,Трусы белые,M,1,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_Universal_qnt27/NORMAL_singles/Трусы белые_M-1.pdf
