type,store,order_id,core,size,quantity,output,count
special_multi_qty,OnlyFit,664382258,Принт 5в1 черный,XL,2.0,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/SPECIAL_multi_qty/Местовая-1_Принт 5в1 черный_XL-2.pdf,
singles_group,OnlyFit,,Berserk футболка черная,2XL,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Berserk футболка черная_2XL-1.pdf,1.0
singles_group,OnlyFit,,Nike Футболка черная,XL,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Nike Футболка черная_XL-1.pdf,1.0
singles_group,OnlyFit,,Принт 5в1 черный,2XL,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Принт 5в1 черный_2XL-12.pdf,12.0
singles_group,OnlyFit,,Принт 5в1 черный,3XL,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Принт 5в1 черный_3XL-3.pdf,3.0
singles_group,OnlyFit,,Принт 5в1 черный,4XL,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Принт 5в1 черный_4XL-2.pdf,2.0
singles_group,OnlyFit,,Принт 5в1 черный,L,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Принт 5в1 черный_L-5.pdf,5.0
singles_group,OnlyFit,,Принт 5в1 черный,M,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Принт 5в1 черный_M-5.pdf,5.0
singles_group,OnlyFit,,Принт 5в1 черный,XL,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Принт 5в1 черный_XL-5.pdf,5.0
singles_group,Universal,,Принт 5в1 черный,2XL,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_2XL-2.pdf,2.0
singles_group,Universal,,Принт 5в1 черный,3XL,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_3XL-2.pdf,2.0
singles_group,Universal,,Принт 5в1 черный,4XL,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_4XL-2.pdf,2.0
singles_group,Universal,,Принт 5в1 черный,M,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_M-2.pdf,2.0
singles_group,Universal,,Принт 5в1 черный,S,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_S-1.pdf,1.0
singles_group,Universal,,Принт 5в1 черный,XL,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_XL-7.pdf,7.0
singles_group,Universal,,Трусы белые,XL,,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_Universal_qnt17/NORMAL_singles/Трусы белые_XL-1.pdf,1.0
