orderid,phone,store_name,sku_key,my_size,message_path
607640463,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,XL,outbox/whatsapp/2025-08-13/607640463_CL_OC_MEN_PRINT51_BLACK_size_check.txt
607971646,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,S,outbox/whatsapp/2025-08-13/607971646_CL_OC_MEN_PRINT51_BLACK_size_check.txt
607638617,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,S,outbox/whatsapp/2025-08-13/607638617_CL_OC_MEN_PRINT51_BLACK_size_check.txt
607502486,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,S,outbox/whatsapp/2025-08-13/607502486_CL_OC_MEN_PRINT51_BLACK_size_check.txt
608136492,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,M,outbox/whatsapp/2025-08-13/608136492_CL_OC_MEN_PRINT51_BLACK_size_check.txt
607531758,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,M,outbox/whatsapp/2025-08-13/607531758_CL_OC_MEN_PRINT51_BLACK_size_check.txt
608037585,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,L,outbox/whatsapp/2025-08-13/608037585_CL_OC_MEN_PRINT51_BLACK_size_check.txt
608026553,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,L,outbox/whatsapp/2025-08-13/608026553_CL_OC_MEN_PRINT51_BLACK_size_check.txt
607710308,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,L,outbox/whatsapp/2025-08-13/607710308_CL_OC_MEN_PRINT51_BLACK_size_check.txt
607481335,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,L,outbox/whatsapp/2025-08-13/607481335_CL_OC_MEN_PRINT51_BLACK_size_check.txt
607634607,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,L,outbox/whatsapp/2025-08-13/607634607_CL_OC_MEN_PRINT51_BLACK_size_check.txt
608316137,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,L,outbox/whatsapp/2025-08-13/608316137_CL_OC_MEN_PRINT51_BLACK_size_check.txt
607477184,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,L,outbox/whatsapp/2025-08-13/607477184_CL_OC_MEN_PRINT51_BLACK_size_check.txt
608143027,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,4XL,outbox/whatsapp/2025-08-13/608143027_CL_OC_MEN_PRINT51_BLACK_size_check.txt
608235518,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,2XL,outbox/whatsapp/2025-08-13/608235518_CL_OC_MEN_PRINT51_BLACK_size_check.txt
607672790,,UNIVERSAL,CL_OC_MEN_PRINT51_BLACK,2XL,outbox/whatsapp/2025-08-13/607672790_CL_OC_MEN_PRINT51_BLACK_size_check.txt
607628147,,UNIVERSAL,BELI51,XL,outbox/whatsapp/2025-08-13/607628147_BELI51_size_check.txt
607896803,,UNIVERSAL,BELI51,XL,outbox/whatsapp/2025-08-13/607896803_BELI51_size_check.txt
607682941,,UNIVERSAL,BELI51,S,outbox/whatsapp/2025-08-13/607682941_BELI51_size_check.txt
608206692,,UNIVERSAL,BELI51,M,outbox/whatsapp/2025-08-13/608206692_BELI51_size_check.txt
